date_of_sale,product_name,price,quantity,total
2024-09-02,Apple iPhone 14,999.99,2,1999.98
2024-09-02,Samsung Galaxy S23,899.99,1,899.99
2024-09-02,Dell XPS 13,1299.99,1,1299.99
2024-09-02,HP Spectre x360,1099.99,3,3299.97
2024-09-02,Sony WH-1000XM5,349.99,4,1399.96
2024-09-02,Google Pixel 7,799.99,2,1599.98
2024-09-02,Apple MacBook Air M2,1199.99,1,1199.99
2024-09-02,Bose QuietComfort 45,329.99,5,1649.95
2024-09-02,Microsoft Surface Pro 9,999.99,1,999.99
2024-09-02,Nintendo Switch OLED,349.99,3,1049.97
